image_name,Tile,TileNumberField,OrbitNumber,DateTime,Satellite,AvgTemp,MaxTemp,MinTemp,TotPrecipitation,Location,Latitude,Longitude,NoForestPercentage,ForestPercentage,MeanNoForestNDVI,MeanForestNDVI,MeanNoForestMSAVI,MeanForestMSAVI
S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_01_06.tif,S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651,20NQG,053,2020-01-11 14:27:01,Sentinel-2A,26.863,32.6,23.671,0.06929487426532432,"Caracaraí, State of Roraima, Brazil",1.807669,-60.216003,0.187809,0.812191,0.506364,0.854418,0.279276,0.84213
S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_04_19.tif,S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651,20NQG,053,2020-01-11 14:27:01,Sentinel-2A,26.863,32.6,23.671,0.06929487426532432,"Caracaraí, State of Roraima, Brazil",1.807669,-60.216003,0.33778,0.66222,0.503824,0.835773,0.282696,0.819925
S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_08_03.tif,S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651,20NQG,053,2020-01-11 14:27:01,Sentinel-2A,26.863,32.6,23.671,0.06929487426532432,"Caracaraí, State of Roraima, Brazil",1.807669,-60.216003,0.497417,0.502583,0.657487,0.842381,0.576476,0.828367
S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_19_09.tif,S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651,20NQG,053,2020-01-11 14:27:01,Sentinel-2A,26.863,32.6,23.671,0.06929487426532432,"Caracaraí, State of Roraima, Brazil",1.807669,-60.216003,0.622242,0.377758,0.176467,0.227962,-0.402728,-0.259696
S2A_MSIL2A_20200217T141651_N0209_R010_T20LQN_20200217T160045_01_20.tif,S2A_MSIL2A_20200217T141651_N0209_R010_T20LQN_20200217T160045,20LQN,010,2020-02-17 14:16:51,Sentinel-2A,26.955,33.044,22.849,4.254118539392948,"Aripuanã, State of Mato Grosso, Brazil",-10.842445,-60.167084,0.149055,0.850945,0.544945,0.888191,0.35689,0.881115
S2A_MSIL2A_20200217T141651_N0209_R010_T20LQN_20200217T160045_12_04.tif,S2A_MSIL2A_20200217T141651_N0209_R010_T20LQN_20200217T160045,20LQN,010,2020-02-17 14:16:51,Sentinel-2A,26.955,33.044,22.849,4.254118539392948,"Aripuanã, State of Mato Grosso, Brazil",-10.842445,-60.167084,0.803551,0.196449,0.758945,0.870634,0.715019,0.861026
S2A_MSIL2A_20200217T141651_N0209_R010_T20LQN_20200217T160045_13_19.tif,S2A_MSIL2A_20200217T141651_N0209_R010_T20LQN_20200217T160045,20LQN,010,2020-02-17 14:16:51,Sentinel-2A,26.955,33.044,22.849,4.254118539392948,"Aripuanã, State of Mato Grosso, Brazil",-10.842445,-60.167084,0.089718,0.910282,0.540952,0.910409,0.333071,0.905969
S2A_MSIL2A_20200217T141651_N0209_R010_T20LQN_20200217T160045_16_14.tif,S2A_MSIL2A_20200217T141651_N0209_R010_T20LQN_20200217T160045,20LQN,010,2020-02-17 14:16:51,Sentinel-2A,26.955,33.044,22.849,4.254118539392948,"Aripuanã, State of Mato Grosso, Brazil",-10.842445,-60.167084,0.419422,0.580578,0.78091,0.908119,0.741238,0.90346
S2A_MSIL2A_20200217T141651_N0209_R010_T20LQN_20200217T160045_18_03.tif,S2A_MSIL2A_20200217T141651_N0209_R010_T20LQN_20200217T160045,20LQN,010,2020-02-17 14:16:51,Sentinel-2A,26.955,33.044,22.849,4.254118539392948,"Aripuanã, State of Mato Grosso, Brazil",-10.842445,-60.167084,0.468048,0.531952,0.743282,0.858516,0.699349,0.847488
S2A_MSIL2A_20200217T141651_N0209_R010_T20LQN_20200217T160045_19_04.tif,S2A_MSIL2A_20200217T141651_N0209_R010_T20LQN_20200217T160045,20LQN,010,2020-02-17 14:16:51,Sentinel-2A,26.955,33.044,22.849,4.254118539392948,"Aripuanã, State of Mato Grosso, Brazil",-10.842445,-60.167084,0.276691,0.723309,0.705845,0.85173,0.648832,0.839576
S2A_MSIL2A_20200217T141651_N0209_R010_T20LQN_20200217T160045_21_09.tif,S2A_MSIL2A_20200217T141651_N0209_R010_T20LQN_20200217T160045,20LQN,010,2020-02-17 14:16:51,Sentinel-2A,26.955,33.044,22.849,4.254118539392948,"Aripuanã, State of Mato Grosso, Brazil",-10.842445,-60.167084,0.357506,0.642494,0.743361,0.878812,0.690972,0.870637
